kind,path,date,exists,readable,rows,has_ts_ms,mismatch_rows,ts_ms_mismatch_rows,min_ts,max_ts,min_ts_ms,max_ts_ms,error
depth,data/parquet/depth/MNQ/20251017.parquet,2025-10-17,True,True,46648210,True,0,0,2025-10-17 00:00:00,2025-10-17 21:00:00.068000,1760659200000,1760734800068,
tick,data/parquet/tick/MNQ/20251017.parquet,2025-10-17,True,True,2290496,True,0,0,2025-10-17 00:00:00.005000,2025-10-17 20:59:59.394000,1760659200005,1760734799394,
depth,data/parquet/depth/MNQ/20251018.parquet,2025-10-18,True,True,1,True,0,0,2025-10-18 06:21:23.910527,2025-10-18 06:21:23.910527,1760768483911,1760768483911,
tick,data/parquet/tick/MNQ/20251018.parquet,2025-10-18,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20251019.parquet,2025-10-19,True,True,697686,True,0,0,2025-10-19 12:00:05.935000,2025-10-19 23:59:59.991000,1760875205935,1760918399991,
tick,data/parquet/tick/MNQ/20251019.parquet,2025-10-19,True,True,51911,True,0,0,2025-10-19 22:00:00,2025-10-19 23:59:59.974000,1760911200000,1760918399974,
depth,data/parquet/depth/MNQ/20251020.parquet,2025-10-20,True,True,23019865,True,0,0,2025-10-20 00:00:00.008000,2025-10-20 23:59:59.997000,1760918400008,1761004799997,
tick,data/parquet/tick/MNQ/20251020.parquet,2025-10-20,True,True,1135935,True,0,0,2025-10-20 00:00:00.009000,2025-10-20 23:59:59.587000,1760918400009,1761004799587,
depth,data/parquet/depth/MNQ/20251021.parquet,2025-10-21,True,True,26176702,True,0,0,2025-10-21 00:00:00.002000,2025-10-21 23:59:59.881000,1761004800002,1761091199881,
tick,data/parquet/tick/MNQ/20251021.parquet,2025-10-21,True,True,1183514,True,0,0,2025-10-21 00:00:00.024000,2025-10-21 23:59:59.125000,1761004800024,1761091199125,
depth,data/parquet/depth/MNQ/20251022.parquet,2025-10-22,True,True,42748939,True,0,0,2025-10-22 00:00:00.001000,2025-10-22 23:59:59.918000,1761091200001,1761177599918,
tick,data/parquet/tick/MNQ/20251022.parquet,2025-10-22,True,True,1859644,True,0,0,2025-10-22 00:00:00.022000,2025-10-22 23:59:59.846000,1761091200022,1761177599846,
depth,data/parquet/depth/MNQ/20251023.parquet,2025-10-23,True,True,27059407,True,0,0,2025-10-23 00:00:00.005000,2025-10-23 23:59:59.912000,1761177600005,1761263999912,
tick,data/parquet/tick/MNQ/20251023.parquet,2025-10-23,True,True,1319600,True,0,0,2025-10-23 00:00:00.123000,2025-10-23 23:59:59.834000,1761177600123,1761263999834,
depth,data/parquet/depth/MNQ/20251024.parquet,2025-10-24,True,True,21853087,True,0,0,2025-10-24 00:00:00,2025-10-24 21:00:00.068000,1761264000000,1761339600068,
tick,data/parquet/tick/MNQ/20251024.parquet,2025-10-24,True,True,1041700,True,0,0,2025-10-24 00:00:00.077000,2025-10-24 20:59:59.804000,1761264000077,1761339599804,
depth,data/parquet/depth/MNQ/20251025.parquet,2025-10-25,True,True,3,True,0,0,2025-10-25 04:27:30.446801,2025-10-25 08:23:56.748118,1761366450447,1761380636748,
tick,data/parquet/tick/MNQ/20251025.parquet,2025-10-25,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20251026.parquet,2025-10-26,True,True,564637,True,0,0,2025-10-26 21:05:47.267595,2025-10-26 23:59:59.997000,1761512747268,1761523199997,
tick,data/parquet/tick/MNQ/20251026.parquet,2025-10-26,True,True,54403,True,0,0,2025-10-26 22:00:00,2025-10-26 23:59:59.435000,1761516000000,1761523199435,
depth,data/parquet/depth/MNQ/20251027.parquet,2025-10-27,True,True,15998234,True,0,0,2025-10-27 00:00:00.001000,2025-10-27 23:59:59.956000,1761523200001,1761609599956,
tick,data/parquet/tick/MNQ/20251027.parquet,2025-10-27,True,True,815027,True,0,0,2025-10-27 00:00:00.173000,2025-10-27 23:59:59.755000,1761523200173,1761609599755,
depth,data/parquet/depth/MNQ/20251028.parquet,2025-10-28,True,True,20713151,True,0,0,2025-10-28 00:00:00.001000,2025-10-28 23:59:59.846000,1761609600001,1761695999846,
tick,data/parquet/tick/MNQ/20251028.parquet,2025-10-28,True,True,960614,True,0,0,2025-10-28 00:00:00.033000,2025-10-28 23:59:59.176000,1761609600033,1761695999176,
depth,data/parquet/depth/MNQ/20251029.parquet,2025-10-29,True,True,30611293,True,0,0,2025-10-29 00:00:00.014000,2025-10-29 23:59:59.884000,1761696000014,1761782399884,
tick,data/parquet/tick/MNQ/20251029.parquet,2025-10-29,True,True,1474500,True,0,0,2025-10-29 00:00:00.072000,2025-10-29 23:59:59.545000,1761696000072,1761782399545,
depth,data/parquet/depth/MNQ/20251030.parquet,2025-10-30,True,True,40742355,True,0,0,2025-10-30 00:00:00.007000,2025-10-30 23:59:59.995000,1761782400007,1761868799995,
tick,data/parquet/tick/MNQ/20251030.parquet,2025-10-30,True,True,1851001,True,0,0,2025-10-30 00:00:00.007000,2025-10-30 23:59:58.545000,1761782400007,1761868798545,
depth,data/parquet/depth/MNQ/20251031.parquet,2025-10-31,True,True,36530289,True,0,0,2025-10-31 00:00:00.003000,2025-10-31 21:00:00.068000,1761868800003,1761944400068,
tick,data/parquet/tick/MNQ/20251031.parquet,2025-10-31,True,True,1508989,True,0,0,2025-10-31 00:00:00.004000,2025-10-31 20:59:59.611000,1761868800004,1761944399611,
depth,data/parquet/depth/MNQ/20251101.parquet,2025-11-01,True,True,1,True,0,0,2025-11-01 04:47:15.934439,2025-11-01 04:47:15.934439,1761972435934,1761972435934,
tick,data/parquet/tick/MNQ/20251101.parquet,2025-11-01,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20251102.parquet,2025-11-02,True,True,316511,True,0,0,2025-11-02 13:00:06.307000,2025-11-02 23:59:59.926000,1762088406307,1762127999926,
tick,data/parquet/tick/MNQ/20251102.parquet,2025-11-02,True,True,27170,True,0,0,2025-11-02 23:00:00,2025-11-02 23:59:59.767000,1762124400000,1762127999767,
depth,data/parquet/depth/MNQ/20251103.parquet,2025-11-03,True,True,30040180,True,0,0,2025-11-03 00:00:00,2025-11-03 23:59:59.973000,1762128000000,1762214399973,
tick,data/parquet/tick/MNQ/20251103.parquet,2025-11-03,True,True,1236893,True,0,0,2025-11-03 00:00:00.004000,2025-11-03 23:59:59.679000,1762128000004,1762214399679,
depth,data/parquet/depth/MNQ/20251104.parquet,2025-11-04,True,True,40929048,True,0,0,2025-11-04 00:00:00.006000,2025-11-04 23:59:59.991000,1762214400006,1762300799991,
tick,data/parquet/tick/MNQ/20251104.parquet,2025-11-04,True,True,1831763,True,0,0,2025-11-04 00:00:00.053000,2025-11-04 23:59:59.969000,1762214400053,1762300799969,
depth,data/parquet/depth/MNQ/20251105.parquet,2025-11-05,True,True,33548068,True,0,0,2025-11-05 00:00:00,2025-11-05 23:59:59.966000,1762300800000,1762387199966,
tick,data/parquet/tick/MNQ/20251105.parquet,2025-11-05,True,True,1583418,True,0,0,2025-11-05 00:00:00.005000,2025-11-05 23:59:59.734000,1762300800005,1762387199734,
depth,data/parquet/depth/MNQ/20251106.parquet,2025-11-06,True,True,45814985,True,0,0,2025-11-06 00:00:00,2025-11-06 23:59:59.990000,1762387200000,1762473599990,
tick,data/parquet/tick/MNQ/20251106.parquet,2025-11-06,True,True,2014618,True,0,0,2025-11-06 00:00:00.005000,2025-11-06 23:59:59.512000,1762387200005,1762473599512,
depth,data/parquet/depth/MNQ/20251107.parquet,2025-11-07,True,True,46568327,True,0,0,2025-11-07 00:00:00,2025-11-07 22:00:00.068000,1762473600000,1762552800068,
tick,data/parquet/tick/MNQ/20251107.parquet,2025-11-07,True,True,2256275,True,0,0,2025-11-07 00:00:00.001000,2025-11-07 21:59:59.272000,1762473600001,1762552799272,
depth,data/parquet/depth/MNQ/20251108.parquet,2025-11-08,True,True,1,True,0,0,2025-11-08 05:30:46.039629,2025-11-08 05:30:46.039629,1762579846040,1762579846040,
tick,data/parquet/tick/MNQ/20251108.parquet,2025-11-08,False,,,,,,,,,,
depth,data/parquet/depth/MNQ/20251109.parquet,2025-11-09,True,True,533496,True,0,0,2025-11-09 22:37:29.852603,2025-11-09 23:59:59.809000,1762727849853,1762732799809,
tick,data/parquet/tick/MNQ/20251109.parquet,2025-11-09,True,True,40579,True,0,0,2025-11-09 23:00:00,2025-11-09 23:59:59.525000,1762729200000,1762732799525,
depth,data/parquet/depth/MNQ/20251110.parquet,2025-11-10,True,True,32844611,True,0,0,2025-11-10 00:00:00,2025-11-10 23:59:59.902000,1762732800000,1762819199902,
